ResponseID,ExtendedSessionID,UserID,ScenarioOrder,Intervention,PedPed,Barrier,CrossingSignal,AttributeLevel,ScenarioTypeStrict,ScenarioType,DefaultChoice,NonDefaultChoice,DefaultChoiceIsOmission,NumberOfCharacters,DiffNumberOFCharacters,Saved,Template,DescriptionShown,LeftHand,UserCountry3,Man,Woman,Pregnant,Stroller,OldMan,OldWoman,Boy,Girl,Homeless,LargeWoman,LargeMan,Criminal,MaleExecutive,FemaleExecutive,FemaleAthlete,MaleAthlete,FemaleDoctor,MaleDoctor,Dog,Cat
2222bRQqBTZ6dLnPH,32757157_6999801415950060.0,6999801415950060.0,7,0,0,0,1,Fit,Fitness,Fitness,Fit,Fat,1.0,5,0,1,Desktop,1.0,1.0,USA,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
2222bRQqBTZ6dLnPH,32757157_6999801415950060.0,6999801415950060.0,7,1,0,1,0,Fat,Fitness,Fitness,Fit,Fat,1.0,5,0,0,Desktop,1.0,0.0,USA,2.0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
22244vvSZfn4J9Zop,1525185249_1436495773909467.0,1436495773909470.0,11,0,0,1,0,Low,Social Status,Social Status,High,Low,0.0,2,0,0,Desktop,1.0,1.0,RUS,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
222746xXDGzpp67gF,208950020_6301448966836256.0,6301448966836260.0,8,1,0,0,0,High,Social Status,Social Status,High,Low,0.0,1,0,1,Mobile,0.0,1.0,HUN,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2227h9GkrNbwhBD6t,-1033736141_5392791780749771.0,5392791780749770.0,11,1,0,0,2,Female,Gender,Gender,Male,Female,1.0,1,0,1,Desktop,1.0,0.0,BRA,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2227h9GkrNbwhBD6t,-1033736141_5392791780749771.0,5392791780749770.0,11,0,0,1,0,Male,Gender,Gender,Male,Female,1.0,1,0,0,Desktop,1.0,1.0,BRA,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
222BRvhQN9ZR9LW5h,-972264246_4277296232223713.0,4277296232223710.5,12,1,0,0,0,Hoomans,Species,Species,Hoomans,Pets,0.0,5,0,1,Desktop,1.0,0.0,BRA,0.0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
222BRvhQN9ZR9LW5h,-972264246_4277296232223713.0,4277296232223710.5,12,0,0,1,0,Pets,Species,Species,Hoomans,Pets,0.0,5,0,0,Desktop,1.0,1.0,BRA,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
222Bih22xMQR5brhF,-841718081_3084184331213722.0,3084184331213720.0,11,1,0,1,0,Hoomans,Species,Species,Hoomans,Pets,0.0,4,0,1,Desktop,1.0,1.0,BRA,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
222Bih22xMQR5brhF,-841718081_3084184331213722.0,3084184331213720.0,11,0,0,0,2,Pets,Species,Species,Hoomans,Pets,0.0,4,0,0,Desktop,0.0,0.0,BRA,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
222EFaYsJGu8PN7B2,1247311683_3858850116393528.0,3858850116393529.5,6,1,1,0,1,Male,Gender,Gender,Male,Female,0.0,2,0,0,Desktop,1.0,1.0,CAN,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
222EFaYsJGu8PN7B2,1247311683_3858850116393528.0,3858850116393529.5,6,0,1,0,2,Female,Gender,Gender,Male,Female,0.0,2,0,1,Desktop,1.0,0.0,CAN,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
222FT9fvbKwBrHNyN,471976686_5877002946438568.0,5877002946438570.0,12,0,0,1,0,Young,Age,Age,Young,Old,1.0,3,0,1,Desktop,0.0,1.0,BRA,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
222FT9fvbKwBrHNyN,471976686_5877002946438568.0,5877002946438570.0,12,1,0,0,2,Old,Age,Age,Young,Old,1.0,3,0,0,Desktop,0.0,0.0,BRA,1.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222GPgdeTGjHcdbw6,-1981382485_5207476621553699.0,5207476621553700.0,1,0,1,0,0,Young,Age,Age,Young,Old,1.0,4,0,1,Desktop,1.0,1.0,ESP,1.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
